frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
79,5,2217.8727179312737 1343.5587122788515 2889.791533038858 2014.6634796475669,2559.714285714286 1852.0714285714287 2753.0476190476193 1913.9285714285713,0,0,0
80,5,2218.0625399238315 1346.3876301692285 2891.4890659008806 2018.9222498325876,2560.785714285714 1855.9285714285713 2754.4523809523807 1918.0714285714287,0,0,0
81,5,2218.2523619163894 1349.2165480596052 2893.1865987629035 2023.1810200176085,2561.8571428571427 1859.7857142857142 2755.8571428571427 1922.2142857142858,0,0,0
82,5,2218.4421839089473 1352.0454659499821 2894.884131624926 2027.4397902026294,2562.9285714285716 1863.642857142857 2757.2619047619046 1926.357142857143,0,0,0
83,5,2218.632005901505 1354.8743838403589 2896.5816644869487 2031.6985603876503,2564.0 1867.5 2758.6666666666665 1930.5,0,0,0
84,5,2218.821827894063 1357.7033017307356 2898.2791973489716 2035.9573305726713,2565.0714285714284 1871.357142857143 2760.0714285714284 1934.642857142857,0,0,0
85,5,2219.0116498866214 1360.5322196211125 2899.976730210994 2040.2161007576922,2566.1428571428573 1875.2142857142858 2761.4761904761904 1938.7857142857142,0,0,0
86,5,2219.2014718791793 1363.3611375114892 2901.674263073017 2044.474870942713,2567.214285714286 1879.0714285714287 2762.8809523809523 1942.9285714285713,0,0,0
87,5,2219.391293871737 1366.1900554018662 2903.3717959350397 2048.7336411277342,2568.285714285714 1882.9285714285713 2764.285714285714 1947.0714285714287,0,0,0
88,5,2219.581115864295 1369.018973292243 2905.0693287970626 2052.992411312755,2569.3571428571427 1886.7857142857142 2765.690476190476 1951.2142857142858,0,0,0
89,5,2219.770937856853 1371.8478911826198 2906.766861659085 2057.251181497776,2570.4285714285716 1890.642857142857 2767.095238095238 1955.357142857143,0,0,0
90,5,2219.960759849411 1374.6768090729965 2908.464394521108 2061.509951682797,2571.5 1894.5 2768.5 1959.5,0.26413625478744507,CV51VSU,0.10632961058696747
91,5,2220.7509512459815 1377.893836928177 2911.0751779382995 2065.0649903769204,2572.3333333333335 1898.2222222222222 2770.777777777778 1964.0,0,0,0
92,5,2221.5411426425526 1381.1108647833576 2913.685961355491 2068.6200290710444,2573.1666666666665 1901.9444444444443 2773.0555555555557 1968.5,0,0,0
93,5,2222.3313340391232 1384.327892638538 2916.296744772683 2072.175067765168,2574.0 1905.6666666666667 2775.3333333333335 1973.0,0,0,0
94,5,2223.121525435694 1387.5449204937186 2918.9075281898745 2075.730106459292,2574.8333333333335 1909.388888888889 2777.6111111111113 1977.5,0,0,0
95,5,2223.911716832265 1390.7619483488988 2921.5183116070666 2079.2851451534157,2575.6666666666665 1913.111111111111 2779.8888888888887 1982.0,0,0,0
96,5,2224.7019082288357 1393.9789762040793 2924.1290950242583 2082.8401838475397,2576.5 1916.8333333333333 2782.1666666666665 1986.5,0,0,0
97,5,2225.4920996254064 1397.1960040592598 2926.73987844145 2086.3952225416633,2577.3333333333335 1920.5555555555557 2784.4444444444443 1991.0,0,0,0
98,5,2226.2822910219775 1400.4130319144404 2929.3506618586416 2089.9502612357874,2578.1666666666665 1924.2777777777778 2786.722222222222 1995.5,0,0,0
99,5,2227.072482418548 1403.6300597696209 2931.9614452758333 2093.505299929911,2579.0 1928.0 2789.0 2000.0,0.26257938146591187,MT51VSU,0.13601822911414185
100,5,2227.7518300039687 1406.7713619281803 2933.418566170576 2096.885200677466,2580.3 1932.2 2790.5 2004.8666666666666,0,0,0
101,5,2228.431177589389 1409.9126640867398 2934.875687065319 2100.2651014250214,2581.6 1936.4 2792.0 2009.7333333333333,0,0,0
102,5,2229.1105251748095 1413.0539662452993 2936.332807960062 2103.6450021725764,2582.9 1940.6 2793.5 2014.6,0,0,0
103,5,2229.7898727602296 1416.1952684038588 2937.789928854805 2107.024902920132,2584.2 1944.8 2795.0 2019.4666666666667,0,0,0
104,5,2230.4692203456502 1419.3365705624183 2939.247049749548 2110.404803667687,2585.5 1949.0 2796.5 2024.3333333333333,0,0,0
105,5,2231.1485679310704 1422.4778727209778 2940.7041706442906 2113.784704415242,2586.8 1953.2 2798.0 2029.2,0,0,0
106,5,2231.827915516491 1425.6191748795372 2942.1612915390338 2117.164605162797,2588.1 1957.4 2799.5 2034.0666666666666,0,0,0
107,5,2232.507263101911 1428.7604770380967 2943.6184124337765 2120.544505910352,2589.4 1961.6 2801.0 2038.9333333333334,0,0,0
108,5,2233.1866106873317 1431.9017791966562 2945.0755333285197 2123.9244066579076,2590.7 1965.8 2802.5 2043.8,0,0,0
109,5,2233.865958272752 1435.0430813552157 2946.5326542232624 2127.3043074054626,2592.0 1970.0 2804.0 2048.6666666666665,0,0,0
110,5,2234.5453058581725 1438.1843835137752 2947.989775118005 2130.6842081530176,2593.3 1974.2 2805.5 2053.5333333333333,0,0,0
111,5,2235.2246534435926 1441.3256856723347 2949.4468960127483 2134.064108900573,2594.6 1978.4 2807.0 2058.4,0,0,0
112,5,2235.904001029013 1444.4669878308941 2950.904016907491 2137.444009648128,2595.9 1982.6 2808.5 2063.266666666667,0,0,0
113,5,2236.5833486144334 1447.6082899894536 2952.361137802234 2140.8239103956835,2597.2 1986.8 2810.0 2068.133333333333,0,0,0
114,5,2237.262696199854 1450.749592148013 2953.818258696977 2144.2038111432385,2598.5 1991.0 2811.5 2073.0,0.25359395146369934,CD51VSU,0.09318264186703314
14,6,1234.8314825609586 1029.8988200776585 1741.4990580279864 1451.305439590336,1478.0 1322.0 1610.0 1372.0,0.301420122385025,JO71SOL,0.02034304036942675
15,6,1232.8724499286 1030.9737681603933 1740.8139286934354 1453.1053025378221,1477.3125 1323.8125 1610.1875 1373.8125,0,0,0
